exp,spp,iso,rep,tem,day,mm1,mm2
1,Cf,12J41,1,10,6,7.51,7.49
1,Cf,12J41,2,10,6,6.61,6.86
1,Cf,12J41,3,10,6,9.4,7.31
1,Cf,11K11,1,15,6,21.7,22
1,Cf,11K11,2,15,6,23.65,23.71
1,Cf,11K11,3,15,6,22.89,27.79
1,Cf,11K17,1,15,6,24.19,24.25
1,Cf,11K17,2,15,6,25.05,23.72
1,Cf,11K17,3,15,6,24.15,24.58
1,Cf,11J23,1,15,6,24.07,24.75
1,Cf,11J23,2,15,6,24.91,25.62
1,Cf,11J23,3,15,6,23.79,24.17
1,Cf,12D46,1,15,6,23.65,23.29
1,Cf,12D46,2,15,6,24.86,24.51
1,Cf,12D46,3,15,6,24.41,24.71
1,Cf,12J05,1,15,6,20.85,22.16
1,Cf,12J05,2,15,6,22.67,23.09
1,Cf,12J05,3,15,6,23.03,23.33
1,Cf,12J41,1,15,6,19.28,20.33
1,Cf,12J41,2,15,6,21.15,19.11
1,Cf,12J41,3,15,6,20.22,19.79
1,Cf,11K11,1,20,6,30.72,30.98
1,Cf,11K11,2,20,6,32.02,31.15
1,Cf,11K11,3,20,6,30.41,31.49
1,Cf,11K17,1,20,6,32.22,32.91
1,Cf,11K17,2,20,6,32.73,33.07
1,Cf,11K17,3,20,6,32.45,32.17
1,Cf,11J23,1,20,6,32.49,32.08
1,Cf,11J23,2,20,6,32.4,31.81
1,Cf,11J23,3,20,6,32.67,32.54
1,Cf,12D46,1,20,6,32.7,32.61
1,Cf,12D46,2,20,6,33,32.01
1,Cf,12D46,3,20,6,30.9,31.4
1,Cf,12J05,1,20,6,31.04,30.83
1,Cf,12J05,2,20,6,30.6,30.61
1,Cf,12J05,3,20,6,30.54,30.34
1,Cf,12J41,1,20,6,26.63,28.69
1,Cf,12J41,2,20,6,28.83,28.12
